END_MV,INCOME,GAIN_LOSS,PORTFOLIO_CODE,PERIOD_ID,FROM_DATE,THRU_DATE,SECURITY_ID,SECURITY_NAME,BEGIN_WEIGHT,BEGIN_MV,SEC_RETURN,CONTRIBUTION,SECTOR_CODE,COUNTRY_CODE,ASSET_CLASS_CODE,CURRENCY_CODE
52971.24,,2152.06,PORT_A,,2025-05-30,2025-05-30,AAPL,,0.05319463,50819.18,0.04234740,0.00225265,,,,
9861.43,,381.10,PORT_A,,2025-05-30,2025-05-30,MSFT,,0.00990301,9480.33,0.04019904,0.00039809,,,,
53083.00,,1633.44,PORT_A,,2025-05-30,2025-05-30,NVDA,,0.05330686,51449.56,0.03174838,0.00169241,,,,
59205.06,,15801.70,PORT_A,,2025-05-30,2025-05-30,AMZN,,0.05945474,43403.36,0.21250336,0.01263433,,,,
56895.58,,26646.33,PORT_A,,2025-05-30,2025-05-30,GOOGL,,0.05713552,30249.25,-0.05955387,-0.00340264,,,,
31788.82,,-23937.04,PORT_A,,2025-05-30,2025-05-30,META,,0.03192288,55725.86,-0.14858200,-0.00474317,,,,
37611.40,,1787.33,PORT_A,,2025-05-30,2025-05-30,JPM,,0.03777002,35824.07,0.04989187,0.00188442,,,,
6649.12,,-3068.82,PORT_A,,2025-05-30,2025-05-30,JNJ,,0.00667716,9717.94,0.02631575,0.00017571,,,,
19190.10,,243.51,PORT_A,,2025-05-30,2025-05-30,XOM,,0.01927103,18946.59,0.01285244,0.00024768,,,,
18568.08,,2197.60,PORT_A,,2025-05-30,2025-05-30,PG,,0.01864639,16370.48,0.06752154,0.00125903,,,,
10323.53,,-854.67,PORT_A,,2025-05-30,2025-05-30,HD,,0.01036707,11178.20,-0.07645864,-0.00079265,,,,
56617.20,,-8567.37,PORT_A,,2025-05-30,2025-05-30,BAC,,0.05685597,65184.57,-0.13143248,-0.00747272,,,,
5795.73,,-115.22,PORT_A,,2025-05-30,2025-05-30,KO,,0.00582017,5910.95,-0.01949181,-0.00011345,,,,
31029.24,,674.01,PORT_A,,2025-05-30,2025-05-30,PEP,,0.03116010,30355.23,0.02220408,0.00069188,,,,
37740.32,,-2050.86,PORT_A,,2025-05-30,2025-05-30,CSCO,,0.03789948,39791.17,-0.05154057,-0.00195336,,,,
17848.84,,-5379.24,PORT_A,,2025-05-30,2025-05-30,PFE,,0.01792411,23228.08,-0.00205656,-0.00003686,,,,
29446.43,,875.53,PORT_A,,2025-05-30,2025-05-30,VZ,,0.02957061,28570.90,0.03064394,0.00090616,,,,
121333.12,,736.75,PORT_A,,2025-05-30,2025-05-30,91282CQQ7,,0.12184482,120596.38,0.00610922,0.00074438,,,,
116846.75,,292.25,PORT_A,,2025-05-30,2025-05-30,91282CQH7,,0.11733952,116554.50,0.00250741,0.00029422,,,,
92399.70,,-847.80,PORT_A,,2025-05-30,2025-05-30,91282CNC1,,0.09278937,93247.50,-0.00909193,-0.00084363,,,,
103822.30,,-68.50,PORT_A,,2025-05-30,2025-05-30,91282CPH8,,0.10426014,103890.80,-0.00065935,-0.00006874,,,,
112684.25,,1232.53,PORT_B,,2025-05-30,2025-05-30,META,,0.11573588,111451.72,-0.14858200,-0.01719627,,,,
56417.10,,2680.99,PORT_B,,2025-05-30,2025-05-30,JPM,,0.05794494,53736.11,0.04989187,0.00289098,,,,
16622.80,,426.23,PORT_B,,2025-05-30,2025-05-30,JNJ,,0.01707297,16196.57,0.02631575,0.00044929,,,,
28785.15,,365.26,PORT_B,,2025-05-30,2025-05-30,XOM,,0.02956469,28419.89,0.01285244,0.00037998,,,,
13106.88,,4921.64,PORT_B,,2025-05-30,2025-05-30,PG,,0.01346183,8185.24,0.06752154,0.00090896,,,,
